family,group,seed,phi,z_contact,N,E,d_cv,ov_med,frac_type2,G_eff,err_I1,lift,eta_g,eta_far,eta_rnd,rho_g,jaccard_g,share_gap,share_contact,share_bond,top20_share,H,frac_sat,engine_version,engine_variant,baseline_fp
strat_100,segregation strength,1,0.6000000000000005,5.535555555555556,900,3509,0.0,0.018797607709061737,0.0,0.0005477687449741879,1.5543122344752192e-15,24.594544395687688,6.778496210606576e-09,0.033265935427289256,0.0406594236474385,-0.18488249353289915,0.0,0.1296591070152941,0.8703408929847058,0.0,0.15327229061421216,6.604646353026741,0.0,v4,holm,014d59a0d7b143ba
strat_100,segregation strength,2,0.6000000000000005,5.764444444444444,900,3556,0.0,0.02087534892542946,0.0,0.00046862889153583465,1.7763568394002505e-15,39.742678715137515,1.2594381667948043e-08,0.004614474974248318,0.025161867099288197,-0.23354966333297086,0.0,0.15783029677405816,0.8421697032259419,0.0,0.21056198076005694,6.319734636904832,0.0,v4,holm,014d59a0d7b143ba
strat_180,segregation strength,0,0.6000000000000005,6.5488888888888885,900,4267,0.0,0.04036773835177669,0.0,0.0001369750433813574,2.3314683517128287e-15,133.75956821529493,1.360941276468546e-11,0.0012148021243960434,0.007476100688291946,-0.27983970736621117,0.0,0.22791492263845034,0.7720850773615495,0.0,0.5434468907208957,4.716766926133811,0.0,v4,holm,014d59a0d7b143ba
strat_180,segregation strength,1,0.6000000000000005,6.742222222222222,900,4290,0.0,0.040627059750794545,0.0,0.00013027366481228734,2.6645352591003757e-15,359.89447893997,7.37446499876776e-10,0.007749413287952215,0.0027785922222129974,-0.31104555935391914,0.0,0.3006734033549359,0.6993265966450641,0.0,0.5329497980384352,4.733621356361381,0.0,v4,holm,014d59a0d7b143ba
strat_180,segregation strength,2,0.6000000000000005,6.3133333333333335,900,4040,0.0,0.03753985131039137,0.0,0.00023559842421345584,3.552713678800501e-15,84.96394997309208,1.3146575189254146e-09,0.0008026491396021353,0.011769697622541066,-0.34230175649415967,0.0,0.20516559054999858,0.7948344094500014,0.0,0.36162834492490903,5.461403569357382,0.0,v4,holm,014d59a0d7b143ba
seg_000,segregation strength,0,0.6600000000000006,4.264444444444444,900,2979,0.46774689538794956,0.012109850727080484,0.0,0.0013345731958496415,3.3306690738754696e-16,26.73254060829192,0.0947863469738206,0.02912813229293196,0.03740759303999035,0.45334934564533447,0.1111111111111111,0.09419153985567431,0.9058084601443257,0.0,0.15869188459432806,6.604476219744342,0.0,v4,holm,014d59a0d7b143ba
seg_000,segregation strength,1,0.6600000000000006,4.3822222222222225,900,2968,0.4677468953879495,0.011419769747459263,0.0,0.0013154750312257821,3.1086244689504383e-15,17.98005073796955,0.8120310947891527,0.038273423449696996,0.055617195667209116,0.46754700822843825,0.25,0.08819744448990083,0.9118025555100993,0.0,0.13178064167251835,6.634150925705552,0.0,v4,holm,014d59a0d7b143ba
seg_000,segregation strength,2,0.6600000000000006,4.362222222222222,900,3001,0.46774689538794956,0.012054772995502639,0.0,0.0013831825571530417,8.881784197001252e-16,24.86096032480923,0.35689403655112256,0.06825350927222709,0.04022370764986422,0.4715186689682331,0.25,0.09237846413390678,0.9076215358660931,0.0,0.16101411623761175,6.672553460179803,0.0,v4,holm,014d59a0d7b143ba
seg_033,segregation strength,0,0.6600000000000006,4.877777777777778,900,3242,0.46774689538794956,0.015334569756364935,0.0,0.001025737942275666,3.552713678800501e-15,28.666115819605118,0.08996258558829506,0.028876194372789328,0.03488439125457267,0.40632630139970005,0.02564102564102564,0.0874333954305109,0.9125666045694892,0.0,0.18757057092766566,6.329104046790274,0.0,v4,holm,014d59a0d7b143ba
seg_033,segregation strength,1,0.6600000000000006,4.788888888888889,900,3272,0.46774689538794956,0.014151884485497312,0.0,0.0011059829350874076,4.440892098500626e-16,36.4002239596189,0.05834864417661533,0.03778154028686365,0.02747235844233717,0.42962050783199757,0.0,0.0930022499468428,0.9069977500531571,0.0,0.1485781542133411,6.515426948122925,0.0,v4,holm,014d59a0d7b143ba
