u,v,P_share,g,branch,x_mid,y_mid,z_mid,family,d_um,seed,filler,matrix,treat,engine_version,engine_variant,baseline_fp
88,1685,0.002434576109223984,0.0007454868988427222,contact,173.30885534667607,180.30521779046984,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1255,1703,0.002426275988725992,0.0004782387818743259,contact,56.53466651320517,67.45939794900627,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
918,1255,0.0024063706133229867,0.0004743226394276044,contact,37.49389509723385,93.25581611409554,254.9663345199736,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
553,1655,0.0023838300487765917,0.000803565725868434,contact,262.12844081532995,239.7977910743292,30.252768719723257,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
741,1087,0.0023431831081505198,0.005041495339753117,contact,240.7008279453844,129.72546318710354,62.687575869743796,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
547,868,0.0023314288351896015,0.0005217249628153427,contact,149.69215593020613,77.48451508222189,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
741,1655,0.0022998297674573648,0.004098167002663738,contact,246.2649144439587,192.58911120978246,48.08750332500019,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1396,1563,0.002299117785661203,0.003818069363767017,contact,193.5862174988249,70.92945497258802,194.33779138675249,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1530,1655,0.002266582747420567,0.0007640334894866371,contact,249.91243740926706,246.25138589790225,29.18277921231745,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1149,1665,0.0021863168656465234,0.004230327581942186,contact,213.22670202415583,123.3809714792801,154.84568448562615,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
131,1054,0.0021615897392882125,0.0006229298045941451,contact,165.3456033893156,262.1208959485575,256.36540639940756,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1237,1655,0.002158981701818994,0.0007277164408678919,contact,234.77710971881868,238.36951628590313,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
840,1655,0.0021497270881216247,0.0007245962237895351,contact,255.39697505618022,240.20060847941247,23.79528955705689,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1054,1239,0.0021152269751985486,0.0006095649697335487,contact,167.41764709551643,233.75729244618427,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
799,871,0.0020929479688405702,0.00035756912217957247,contact,109.7991950244136,23.79528955705689,253.12495380846838,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
1054,1684,0.002080031108627894,0.0005994200242730259,contact,165.66633919971468,256.8549870439018,262.12844081532995,bimodal_5to1,25.0,0,AlN,epoxy,untreated,v4,holm,014d59a0d7b143ba
